crawl_identity,crawl_deletion,start,walk,favourite,stops,criteria
69e01c9c-5e4d-4da2-8c22-66efb8df55ac,False,ChIJxSm2gqoEdkgR8QXyqlo5k2A,10,all,2,NEAREST
a0b01888-2558-43cc-b6a5-ca3d933488b1,False,ChIJ9QYqPWYFdkgR5qsSILubOO0,0,all,2,NEAREST
b1fdceb8-33d7-40b2-8778-f8921858cc21,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,0,all,3,NEAREST
3dbe46d9-d128-45b6-9666-413e0866b58c,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,0,all,2,NEAREST
fff08a4a-9b97-49a0-97c5-bae284e573ff,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,0,all,2,NEAREST
efa23c80-cf74-4b2e-b650-85df3aed9a39,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,0,all,2,NEAREST
cf203e42-ecce-43c0-9cde-50f07e230796,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,0,all,2,NEAREST
9b1766eb-267b-4d21-b44a-405d6f214910,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,0,all,3,NEAREST
ae61d0f7-8138-4d6e-8dc1-18d1a229b06d,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,0,all,4,NEAREST
ae460bd2-30b8-4728-9011-e1913b5fe14f,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,0,all,4,NEAREST
8b9432df-d82a-40a2-9f3b-fa756c4b3c2b,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,0,all,4,NEAREST
d91a61c1-1070-4329-b365-2cf083f51c8e,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,0,all,4,NEAREST
c58af9f0-8e42-469a-9a0c-cb55925774bc,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,0,all,2,NEAREST
b68e8642-5073-4ace-b194-faaceafa7a0a,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,0,all,3,NEAREST
1ae4d243-b4aa-4fa5-b827-d846b85f1b03,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,0,all,4,NEAREST
