pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,,,,,7.30pm quiz,,,,,,,,,,,,,7.30pm thursday,,
00578cd5-83ea-4e42-941e-347298312015,Pub with fine dining. Outdoor seating,,,,,,,,,,,,,,,,,,,
0070a010-95c5-494b-878f-47bcae4be933,Outdoor seating. Closed Sunday.,,,,,,,,,,,,,,,,,,,
008849b1-87fd-4453-90f8-9b0089e78063,Mon ukulele. Tue Irish music. Thur live piano. Sun folk music,,,,,,,,,,,,,,,,,,,
013c54a0-e7d1-4da6-bce1-995d7be626c9,Giant stainless window with outdoor seating,,,,,,,,,,,,,,,,,,,
01e4fc21-05fd-4289-aa17-8b6f1ecbaff1,some live music events,8pm quiz,,,,,,,,,,,,,,some live music events,,8pm monday,,
0252299e-ca2a-4dad-941f-c48bd96d99b6,,,7.30pm quiz,,,,,,,,,,,,,,,7.30pm tuesday,,
027f706e-bd89-4b8e-861e-c9b0f3c21779,Mon-Sat: jazz brunch,,,,,,,,,,,,,,,,,,,
02a020c2-6a22-426a-87ec-06d7b7be54ad,Outdoor seating,,,,,,,,,,,,,,,,,,,
02d0238e-4c9e-4b8b-a3d7-75932572cd2b,,8pm quiz,,,,11pm live music,11pm live music,,,,11pm live music friday & saturday,,,,,,,8pm monday,,
030c2476-0498-4cdf-8368-5a55a1e8f902,"Fri/Sun live music, Closed Mon-Wed",,,,,,,,,,,,,,,,,,,
034f929e-3ec9-4e3d-b7aa-ecaf4ecab4a7,Wed 7pm quiz,,,,,,,,,,,,,,,,,,,
03720287-a239-42f8-9919-ba66747271b4,Table tennis and outdoor seating,,,,,,,,,,,,,,,,,,,
038b9ae5-c670-4797-ae52-571c8eea95f1,Taproom with outside seating. Closed Sun/Mon,,,,,,,,,,,,,,,,,,,
039eff8c-6227-49b2-be8a-36126274addf,Thur 8pm quiz. Riverside pub,,,,,,,,,,,,,,,,,,,
04738700-75a2-4d5c-864d-de41c81995db,Views over the river. Tue 7pm quiz. Sun live jazz,,,,,,,,,,,,,,,,,,,
04972c65-d348-4b94-b7c4-d22f6ae9578b,Traditional pub,,,,,,,,,,,,,,,,,,,
04ea139a-05b9-42ee-8bd0-3f3271c750e1,Monday bingo,,,,,,,,,,,,,,,,,,,
05493a89-5d8f-407c-b5ca-d269f6d5af55,Brunch 12noon Saturdays,,,,,,,,,,,,,,,,,,,
059d6c74-dbe3-4b7b-96cf-baa93595976c,Traditional pub,,,,,,,,,,,,,,,,,,,
05f4d08e-e2cc-4597-9964-96bc3fd9c799,Sat live music. Closed Mon,,,,,,,,,,,,,,,,,,,
060e9c82-2b9f-4547-bd1e-eb313934bc6b,Thurs 7.30pm quiz,,,,,,,,,,,,,,,,,,,
068816e9-c598-43e3-a324-2e79bbdbe25f,Classic pub,,,,,,,,,,,,,,,,,,,
06d84519-d68f-4037-a943-fb10361b023d,Riverside pub with Wed 8pm quiz,,,,,,,,,,,,,,,,,,,
06e2e2ca-8d55-41ac-bf73-855d9019d6f1,Traditional pub. Closed Mon/Tue,,,,,,,,,,,,,,,,,,,
06f154c0-d04f-45a7-9c9b-2832b779a411,Rooftop bar with accommodation,,,,,,,,,,,,,,,,,,,
0748c729-9d48-488a-b224-f6bcec262442,Pretty decor. Tue 8pm quiz. Karaoke hire,,,,,,,,,,,,,,,,,,,
0749dc1d-64cb-4c59-b900-82481ccb3fc4,Quirky front room decor with outdoor seating,,,,,,,,,,,,,,,,,,,
07880a7e-e71d-474e-9919-a5d0401ffd8b,Modern pub,,,,,,,,,,,,,,,,,,,
0789f736-9172-4748-8736-6d71f3d9b4e4,Classic pub,,,,,,,,,,,,,,,,,,,
07cb0b23-2f4a-4ad6-9425-61afba597d59,Thurs-Sun only,,,,,,,,,,,,,,,,,,,
07ced535-706f-4e45-9cb9-26e0850855ed,Theatre shows,,,,,,,,,,,,,,,,,,,
083fcd78-e119-48ec-92c1-604a8645fb7c,Close to music venue,,,,,,,,,,,,,,,,,,,
086c0823-e45c-4973-9bff-ef07bbb9d14a,Quiz and bingo nights,,,,,,,,,,,,,,,,,,,
08d5404b-ae5c-4e66-b7d3-b3b50958895e,Traditional pub,,,,,,,,,,,,,,,,,,,
096d7663-cbd1-446f-8c85-6760d22b7599,Modern pub,,,,,,,,,,,,,,,,,,,
09e133c1-5f81-4792-bbad-8cb3e30d75f7,Traditional pub but closed Mon,,,,,,,,,,,,,,,,,,,
0a0b64ce-badb-49b7-b4e6-2a725d564598,Tue board games night. Fri/Sat DJs. Sun 8pm quiz,,,,,,,,,,,,,,,,,,,
0a1f8e69-4020-4dad-8a4a-a3925e7d03ce,Various music events,,,,,,,,,,,,,,,,,,,
0a8a43f0-000e-4a88-9874-d13926e71eed,Riverside bar with outdoor seating. Thur 7.30pm pub quiz,,,,,,,,,,,,,,,,,,,
0b077dca-28af-4973-88c4-39ffe0b4f2cf,0,,,,,,,,,,,,,,,,,,,
0b1ef52c-4497-4de4-b606-305b2ee1911e,Wed quiz. Sat live music,,,,,,,,,,,,,,,,,,,
0b938518-efd3-47e3-bdc8-5c276cf701ef,Outdoor seating and poker nights,,,,,,,,,,,,,,,,,,,
