address,area_identity,category,place,pub_deletion,pub_identity,pub_latitude,pub_longitude,pub_name,rank,station_identity,colour
"The Shard, 32 London Bridge St, London SE1 9SG, UK",75808b33-a6d6-4e79-bc63-cce0831d36a9,Other,ChIJExONSFcDdkgRMSEqKA-Upc0,False,10f611a2-512f-4b07-aa57-8de878ccbb3b,51.50429998465006,-0.0863711535930633,Shard Quarter,4.6,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,#0275d8
"29 Watling St, Greater, London EC4M 9BR, UK",71f589fb-f617-48b9-b779-dc1e8d73b1fe,Bar,ChIJy2QpfVUDdkgR_ZjHMTwf28A,False,fd1f6053-8868-419a-a445-fd24a21e8b99,51.51292242976256,-0.0935447216033935,Ye Olde Watling,4.0,17d9ab39-318d-4187-bdcb-a6aa315d1997,
"39 Bow St, London WC2E 7AU, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,Bar,ChIJtVNpD8sEdkgRW_kxR_77yN4,False,efcf3870-da4d-4a44-9c1b-3d5be38edeaa,51.5128833,-0.1212482,Marquess of Anglesey,4.0,6755ece0-c460-4849-9ba9-ece9e516d8f1,
"213 Strand, Temple, London WC2R 1AP, UK",87fbc59f-9c44-4e78-b4b5-000ef3b4d559,Bar,ChIJnx8u7bQEdkgRGm5XKuA0SBQ,False,eabe0a83-2841-4c72-b86a-4fb5504e2161,51.5131978,-0.1130845,The George,4.0,a9dd3bb6-f448-4315-b4b9-be59803228f3,
"91-92 Strand, Greater, London WC2R 0DW, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,bar,ChIJPyb_JskEdkgRDw4ffzUc8cQ,False,75d7f798-4740-483c-9140-88318b66078e,51.510391790277765,-0.1212948560714721,The Coal Hole,4.0,457a9061-abd6-4bb1-8017-0c1eaeb4efdd,
"18 Wellington St, London WC2E 7DD, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,Bar,ChIJKZfgUMoEdkgRjRIYygsCkSY,False,e8cbe945-648f-4a82-8e4b-8a6eb043af7f,51.51193923626556,-0.1198330521583557,Christophers,4.0,6755ece0-c460-4849-9ba9-ece9e516d8f1,
"Zero Aldwych, Wellington St, London WC2E 7DN, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,Bar,ChIJa1uHRMoEdkgRq4LNAJbXbhg,False,5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,51.51149520644037,-0.1192627474665641,CellarDoor,4.4,a9dd3bb6-f448-4315-b4b9-be59803228f3,
"Southbank Centre, Belvedere Rd, London SE1 8XX, UK",31e94930-b83f-4fed-914f-23c75fb14cae,bar,ChIJ8W1157cEdkgRaKMYsrcpgH0,False,0ca14449-0d5b-4e03-9247-99fed9cebbc3,51.5060805,-0.1163042,Royal Festival Hall,4.0,ebf71968-a0a8-48a5-b003-63b1b53f9375,
"14 Widegate St, London E1 7HW, UK",42591133-6127-4928-a6fc-d0f99e2c3d9a,Bar,ChIJ5RaXpLMcdkgR9zQEorKYcI4,False,6bb18e6f-42e5-4f54-b98a-75302168364c,51.51804462475466,-0.077819600701332,Kings Stores,4.3,21d98f91-f4f6-4a17-9c96-2f81a74a8a5c,
"10 James St, London WC2E 8BT, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,Bar,ChIJ2QufhMwEdkgRXCUo74j_0Zo,False,49bf46f8-088d-44aa-afee-c96875a311a7,51.512913666247,-0.1236800104379654,The Nags Head,4.2,6755ece0-c460-4849-9ba9-ece9e516d8f1,
"22 Fleet St, Temple, London EC4Y 1AA, UK",87fbc59f-9c44-4e78-b4b5-000ef3b4d559,Bar,ChIJsecEQrMEdkgRvd4CVnayQPs,False,9b7c0aba-1eb5-4006-887b-d7903b0a566d,51.51379814684957,-0.1105070114135742,Ye Olde Cock Tavern,4.2,a9dd3bb6-f448-4315-b4b9-be59803228f3,
"145 Fleet St, London EC4A 2BP",87b4b121-bf17-44e7-805a-a860f9ee4b33,Bar,ChIJM0n9x7IEdkgRZllOf-c6RYQ,False,9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,51.51436796944155,-0.1071703433990478,Ye Olde Cheshire Cheese,4.0,1fb0c041-e7ac-4df4-a197-20518fad1038,
"9-10 Jerusalem Passage, London EC1V 4JP, UK",87b4b121-bf17-44e7-805a-a860f9ee4b33,Bar,ChIJeaFiSVAbdkgRMReUY6rO8Kw,False,8905f38f-5abe-4ff7-9b22-72ab50645c21,51.5232321,-0.1039848,The Dovetail,4.0,86863791-1cbc-4743-8fc1-daed77eb8128,
"60-63 W Smithfield, London EC1A 9DY",87b4b121-bf17-44e7-805a-a860f9ee4b33,Bar,ChIJc1290q8EdkgRzmquDwQgy48,False,85734c01-6261-4784-b024-637b12b8d4f4,51.51879527524319,-0.1005265116691589,Fullers Ale and Pie House,4.0,d97b5ad4-eff1-439d-aad7-b121519aa3db,
"259 Upper St, London N1 1RU, UK",7b9db47d-0a1c-429c-9608-711ed711e845,Bar,ChIJBZy_ImUbdkgRikjoTsqS6zY,False,168c5191-a91d-4774-af72-c0b60222cd5c,51.54603125945693,-0.1034611836075782,Famous Cock Tavern,4.1,6339de91-7b07-4cc2-960f-3e12bb216599,
"44 Essex Rd, London N1 8LN, UK",7b9db47d-0a1c-429c-9608-711ed711e845,Bar,ChIJD7jeSWcbdkgRwyRdbn_qKIQ,False,94d24fde-0b24-4bec-a05d-3c8ca530db55,51.53722635051119,-0.1004061475396156,The Old Queens Head Pub,4.3,d64263fb-509a-4339-a6d2-3a86b865c4a8,#d9534f
"50 Dean St, London W1D 5BG, UK",1676a419-f2d0-4bf4-a5ae-569fea25e991,Bar,ChIJBUj2-9IEdkgRmSNxHI1mals,False,3e38be80-48d3-4177-a80d-7b670494e234,51.5127423600451,-0.1317464187741279,Mr Foggs Pawnbrokers,4.5,a2fa95a7-428a-414b-a249-9e8d4a8aa9bd,
"103 York Hill, Loughton IG10 1RX, UK",fa6b3525-c4d4-4a9c-b10c-6f097fa658ec,Bar,ChIJP-zaZbqh2EcRhNdANKcXmyU,False,0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,51.65444454376321,0.0599996745586395,The Gardeners Arms,4.3,f06cb191-eeb2-4e39-9300-674af0a4be4b,
"15 John Prince's St, London W1G 0AB, UK",632602fe-f847-4e12-9e03-31e3d22aa344,bar,ChIJK7VnItUadkgRIKtptwcYHNw,False,5e7a2cf0-e9bc-4fc8-818b-763244375ebf,51.51597539999999,-0.1434136,Swingers Crazy Golf,4.0,7d6570e0-c264-4105-a26e-7864393b92ed,
"175-177 Great Portland St, London W1W 5PJ, UK",f25607ca-ec88-46dc-a1f3-b8dedd3e5ca3,bar,ChIJ-bg_WdYadkgRD-AagbO6NpE,False,52c555f4-007f-4dd1-9d75-a0dfc38425ad,51.5218837,-0.1436869,Kibele Restaurant,4.0,bdfe61ed-df50-4024-bdee-a23591f45736,
"45 Curtain Rd, London EC2A 3PT, UK",480fafaa-7b2b-4282-a14f-e226e0b20922,Restaurant,ChIJqWi4-hgddkgRWtuFocZv6EI,False,dc3dc762-de64-421e-bc0b-e861e3766ae2,51.52367858258219,-0.080561488866806,Laurel's On The Roof,4.3,08d27125-da1f-4d06-bdc3-ee4604a498d0,
"129 City Rd, London EC1V 1JB, UK",00763a76-7504-4fd1-84e1-57184c44e46f,Bar,ChIJO5NM4aUcdkgR-XrNmE-75f8,False,c7223326-661e-49ed-a0b2-da5bd4758508,51.52652471172488,-0.0877367332577705,Nightjar,4.6,1cd39885-66f1-47e2-8948-eb468ad78c3f,
"204 Blackstock Rd, London N5 1EN, UK",8e74a1f3-b8fc-4986-a520-0884eb581cb7,Bar,ChIJPZQrmoEbdkgRYkei5lsTuCc,False,610d6a7a-b922-4a4a-9302-6cdd869ce4f5,51.55893287286906,-0.0987817347049713,The Gunners,4.4,2ba058c6-bdcf-4144-bb4a-315a93adfd29,#d9534f
"19 Martello St, London E8 3PE, UK",16240ef3-d2e9-4d02-bd79-fabaf2147ff3,Bar,ChIJJ_b_8OUcdkgRe50aD2Mcvuk,False,d5cd1760-b22e-49e8-832e-6eb5cab180f3,51.54203157096124,-0.0582277402281761,Pub On The Park,4.3,cc6e0333-78d2-454e-8928-cc3f843da984,
"69 Stoke Newington High St, London N16 8EL, UK",4ba994d3-be0f-4955-9926-d41d5b751170,Bar,ChIJRZbnpGEcdkgRO2U7Q9YJEs4,False,ad2bbf86-9982-4180-a815-6e0b075eba1c,51.55911296838674,-0.0743880495429039,The White Hart,4.0,e3fdc4e4-8bce-4e2f-8282-edfd9691b041,
"199 Shernhall St, London E17 9HX",243b75de-2b66-48a4-a302-4d8800692296,Bar,ChIJByRwS_QddkgRniyqEKqpBrY,False,e7e819fb-a913-467e-94d3-1ca2f6473a6e,51.58090780447581,-0.0034422799944877,Lord Raglan,4.2,cf3f6f99-3fcb-41c9-a73d-cbe05a277817,
"29-31 Piccadilly, London W1J 0LF, UK",1676a419-f2d0-4bf4-a5ae-569fea25e991,Bar,ChIJl1l3INQEdkgR9NcwIm5QKmQ,False,32a17618-9e23-450c-b921-a6bab0dfdd6f,51.5092568379436,-0.1368308812379837,Caffe Concerto Piccadilly,3.5,78974d23-26f1-44ca-a34b-526fb180e30b,
