brunch,dart,detail,entertain,favourite,garden,history,late,music,pool,pub_identity,quiz,review_deletion,review_identity,roast,sport
False,False,,False,False,False,False,False,False,False,00ffd490-b3b8-424d-b5d2-5122bbebdba2,False,False,1869bc0d-e2a8-40c9-bcba-073bfaaa4ba0,False,False
False,False,Scenic bar views,False,False,False,False,False,False,False,10f611a2-512f-4b07-aa57-8de878ccbb3b,False,False,e1c5fd3e-8fb3-40ff-a7cb-1bf2d20e8611,False,False
False,False,Classic pub,False,False,False,False,False,False,False,efcf3870-da4d-4a44-9c1b-3d5be38edeaa,False,False,f2df2681-9b63-46a7-83f2-1fb8d6e3e0a1,False,False
False,False,Beautiful facade,False,False,False,True,False,False,False,eabe0a83-2841-4c72-b86a-4fb5504e2161,False,False,50fa15ac-5cd3-41ab-a183-54e52897955a,True,False
True,False,,False,False,False,False,False,False,False,75d7f798-4740-483c-9140-88318b66078e,False,False,e55d062a-f75b-4d7e-95bb-2f7199650949,False,False
False,False,American restaurant,False,False,False,False,False,False,False,e8cbe945-648f-4a82-8e4b-8a6eb043af7f,False,False,aa272853-1d21-42b2-a927-507904cbe0f3,False,False
False,False,,False,False,False,False,True,True,False,5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,False,False,9aa2f873-b061-4b53-9c8d-f2aedc25dfe7,False,False
False,False,,False,False,True,False,False,False,False,0ca14449-0d5b-4e03-9247-99fed9cebbc3,False,False,b2fc5b4f-5be7-4366-a632-09e166da3bfa,False,False
False,False,Traditional pub,False,False,False,False,False,False,False,49bf46f8-088d-44aa-afee-c96875a311a7,False,False,a1f75b71-aeba-4a08-8a3c-ae5b3ae7098a,False,False
False,False,,False,False,False,False,False,False,False,57fe4fa1-3339-47f7-be7c-8de1e4b539d6,False,False,8c8692f4-a7f3-4622-98a6-dec317bcca02,False,False
False,False,Unique facade ,False,False,False,True,False,False,False,9b7c0aba-1eb5-4006-887b-d7903b0a566d,False,False,9dbbb2b3-381a-43ad-892a-0ecdbc16bb35,True,True
False,False,,False,False,False,False,False,False,False,79bfdc53-24f4-4f44-8b80-3a0a553b0898,False,False,bc67b93f-1caf-4db7-a2b7-d09b9d1dccc2,False,False
False,False,,False,False,False,False,False,False,False,fc01e35d-870c-4e42-9465-9087f316a824,False,False,682c5f2f-0b06-4235-89ab-e029de358c5a,False,False
False,False,,False,False,False,False,False,False,False,a9001d88-fd2e-4240-a95a-c98322365eb0,False,False,9e062add-a4c8-4aa2-afd0-9091ee1d6bdd,False,False
False,False,Quirky inside,False,False,False,True,False,False,False,9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,False,False,a0109ed7-ce3e-4aa9-855c-f8bbe27360a2,False,False
False,False,Belgian bar with beer tasting evenings,True,False,False,False,False,False,False,8905f38f-5abe-4ff7-9b22-72ab50645c21,False,False,f3d4192b-6ed2-4e2c-9db4-f04faf9e46ea,False,False
False,False,Classic pub,False,False,False,False,False,False,False,85734c01-6261-4784-b024-637b12b8d4f4,False,False,21afb3d4-1d3b-4bd3-90ed-21ac95bf2f81,False,False
False,False,,False,False,False,False,False,False,False,e96d9cfd-fb5e-4f5f-b722-bf6cd1ad3aad,False,False,9d0f7c5c-9d16-423e-9888-6cc78381e898,False,False
False,False,,False,False,False,False,False,False,False,7f3d8913-5a6d-40a4-a3e4-cd6eb0b0b8bf,False,False,f8d06143-d50e-4c2d-b231-b6c0233658ea,False,False
False,False,,False,False,False,False,False,False,False,cf5bc9ca-01c3-43e1-8b44-89b0cd5eac28,False,False,73a32858-85fd-47ab-b7df-c350f6d2ed70,False,False
False,False,,False,False,False,False,False,False,False,3e38be80-48d3-4177-a80d-7b670494e234,False,False,c2fe8297-6be5-49b1-b6c8-cf132390cb70,False,False
True,False,Thursday 7.30pm quiz,False,False,True,False,False,False,False,0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,True,False,2e72dba8-34d9-403e-a1c3-e6de20da8dc0,True,False
