area_identity,area_deletion,area,type,latitude,longitude,parent_identity
33869d87-05dc-4728-a03a-c94cbab80292,False,Belgravia,area,51.497189362627,-0.15312444757987,46d55da1-a72f-4221-bddc-676473092b49
a8270094-1d5b-4558-a1d0-5be568497233,False,Shepherds Bush,area,51.503649663134,-0.22202608436881,6e1f4a8e-094c-4453-810d-a9a871de29c4
632602fe-f847-4e12-9e03-31e3d22aa344,False,Mayfarir,area,51.508826777815,-0.14977175677031,46d55da1-a72f-4221-bddc-676473092b49
1676a419-f2d0-4bf4-a5ae-569fea25e991,False,Soho,area,51.517585379522,-0.13500343088978,46d55da1-a72f-4221-bddc-676473092b49
f25607ca-ec88-46dc-a1f3-b8dedd3e5ca3,False,Marleybone,area,51.517813528559,-0.14940758694832,46d55da1-a72f-4221-bddc-676473092b49
8e74a1f3-b8fc-4986-a520-0884eb581cb7,False,Finsbury Park,area,51.56836998856,-0.1055098080897,6f1fe7e4-3c54-4cfd-aae2-03692419e90e
dba395e1-7632-4228-a9b8-e0e4dba2fac5,False,Clerkenwell,area,51.526110292364,-0.10582283556022,6f1fe7e4-3c54-4cfd-aae2-03692419e90e
8d7a9d04-eea3-45d7-a17c-e5271cbc1fa4,False,Bloomsbury,area,51.521986943217,-0.12905768354179,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
87fbc59f-9c44-4e78-b4b5-000ef3b4d559,False,Holborn,area,51.517355462669,-0.12059946509385,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8
5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,False,Covent Garden,area,51.512009617972,-0.12370182518566,46d55da1-a72f-4221-bddc-676473092b49
87b4b121-bf17-44e7-805a-a860f9ee4b33,False,Farringdon,area,51.519819734005,-0.10608385467732,71f589fb-f617-48b9-b779-dc1e8d73b1fe
480fafaa-7b2b-4282-a14f-e226e0b20922,False,Spitalfields,area,51.516655105759,0.077388723932787,0a941967-b023-429d-8f0e-e8e6b3d02402
031970b0-c0f6-450a-8515-4129c30f3302,False,Bethnal Green,area,51.525404406685,0.062604182716493,0a941967-b023-429d-8f0e-e8e6b3d02402
07139d67-7e99-47b7-860b-04cead639a3c,False,Shoreditch,area,51.522969169281,0.078564309007492,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
be3be431-d8c0-4327-83e7-4718f2d97d97,False,Walthamstow,area,51.560626678765,0.017825904565079,b7a4cf4e-05f0-4dac-949a-cb99d8cb8a7e
71f589fb-f617-48b9-b779-dc1e8d73b1fe,False,City,borough,51.51279,-0.09184,9a1922f6-0f90-4039-81a9-3b3a485f0eb8
8576a0cd-0b4d-4a85-ba3c-122360e7d5f8,False,Camden,borough,51.529,-0.1255,2462a123-156f-4959-871a-3d5246509f3f
16240ef3-d2e9-4d02-bd79-fabaf2147ff3,False,Hackney,borough,51.545,-0.0553,577cffa7-03ea-4d0f-8615-0b625e01e3ca
31e94930-b83f-4fed-914f-23c75fb14cae,False,South Bank,area,51.5049,-0.1136
