area_identity,area_deletion,area,type,latitude,longitude,parent_identity,photo_identity
33869d87-05dc-4728-a03a-c94cbab80292,False,Belgravia,area,51.497189362627,-0.15312444757987,46d55da1-a72f-4221-bddc-676473092b49,48e727ee-6267-42fc-ba5b-be124326c01a
a8270094-1d5b-4558-a1d0-5be568497233,False,Shepherds Bush,area,51.50616,-0.22483,6e1f4a8e-094c-4453-810d-a9a871de29c4,758baa09-e7dc-4c22-b05b-f70c37af0269
632602fe-f847-4e12-9e03-31e3d22aa344,False,Mayfair,area,51.51334,-0.14812,46d55da1-a72f-4221-bddc-676473092b49,8cd1557c-c884-4e5f-a15a-0d110748a24f
1676a419-f2d0-4bf4-a5ae-569fea25e991,False,Soho,area,51.51489,-0.13645,46d55da1-a72f-4221-bddc-676473092b49,fd088478-cc9e-4599-854b-034633db4838
f25607ca-ec88-46dc-a1f3-b8dedd3e5ca3,False,Marleybone,area,51.51996,-0.14958,46d55da1-a72f-4221-bddc-676473092b49,e99686ed-6e72-4a20-9350-cc7271d7d5bc
8e74a1f3-b8fc-4986-a520-0884eb581cb7,False,Finsbury Park,area,51.56598,-0.10504,6f1fe7e4-3c54-4cfd-aae2-03692419e90e,7cf30976-12ab-4ce7-a874-912752d21eb4
8d7a9d04-eea3-45d7-a17c-e5271cbc1fa4,False,Bloomsbury,area,51.521986943217,-0.12905768354179,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8,5ac36d52-fed0-43a1-badf-28e5ed764b01
87fbc59f-9c44-4e78-b4b5-000ef3b4d559,False,Holborn,area,51.51856,-0.11452,8576a0cd-0b4d-4a85-ba3c-122360e7d5f8,2f77f48f-a4e9-4ae8-960d-d9ae6c3294fd
5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,False,Covent Garden,area,51.51318,-0.12426,46d55da1-a72f-4221-bddc-676473092b49,bb0f90f0-e695-4922-8f3e-5e6a86557f35
87b4b121-bf17-44e7-805a-a860f9ee4b33,False,Farringdon,area,51.5229,-0.10435,71f589fb-f617-48b9-b779-dc1e8d73b1fe,fb3ad85f-bbd3-464e-9660-a15b55e8fa4d
