review_identity,review_deletion,pub_identity,visit,star,atmosphere,cleanliness,clientele,decor,entertainment,food,friendliness,opening,price,selection,rating,reviewer,pet,tv,garden,music,late,meals,toilets,cheap,games,quiz,pool,lively
1869bc0d-e2a8-40c9-bcba-073bfaaa4ba0,False,00ffd490-b3b8-424d-b5d2-5122bbebdba2,test date,decor,6.0,5.0,6.0,8.0,2.0,5.0,4.0,5.0,2.0,3.0,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
e1c5fd3e-8fb3-40ff-a7cb-1bf2d20e8611,False,10f611a2-512f-4b07-aa57-8de878ccbb3b,30/05/2023,decor,7.0,10.0,6.0,10.0,0.0,3.0,9.0,5.0,0.0,8.0,both,0.0,False,False,False,False,False,True,False,False,False,False,False,False
f2df2681-9b63-46a7-83f2-1fb8d6e3e0a1,False,efcf3870-da4d-4a44-9c1b-3d5be38edeaa,30/05/2023,decor,6.0,3.0,7.0,9.0,4.0,6.0,7.0,5.0,5.0,8.0,both,0.0,False,False,False,False,False,True,False,False,False,False,False,False
50fa15ac-5cd3-41ab-a183-54e52897955a,False,eabe0a83-2841-4c72-b86a-4fb5504e2161,30/05/2023,entertainment,6.0,5.0,6.0,6.0,8.0,5.0,7.0,7.0,5.0,7.0,BOTH,0.0,False,True,True,False,False,False,False,False,False,False,False,False
e55d062a-f75b-4d7e-95bb-2f7199650949,False,75d7f798-4740-483c-9140-88318b66078e,30/05/2023,atmosphere,9.0,5.0,8.0,5.0,4.0,5.0,5.0,5.0,2.0,7.0,both,0.0,False,False,False,False,False,True,False,False,False,False,False,False
aa272853-1d21-42b2-a927-507904cbe0f3,False,e8cbe945-648f-4a82-8e4b-8a6eb043af7f,30/05/2023,friendliness,6.0,7.0,5.0,6.0,3.0,6.0,8.0,5.0,3.0,7.0,both,0.0,False,False,False,False,False,True,False,False,False,False,False,False
9aa2f873-b061-4b53-9c8d-f2aedc25dfe7,False,5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,30/05/2023,entertainment,8.0,9.0,8.0,7.0,10.0,5.0,8.0,7.0,4.0,7.0,BOTH,0.0,False,False,False,True,True,False,False,False,False,False,False,False
b2fc5b4f-5be7-4366-a632-09e166da3bfa,False,0ca14449-0d5b-4e03-9247-99fed9cebbc3,30/05/2023,friendliness,8.0,8.0,9.0,9.0,6.0,5.0,9.0,4.0,4.0,4.0,BOTH,0.0,False,False,True,False,False,False,False,False,False,False,False,False
a1f75b71-aeba-4a08-8a3c-ae5b3ae7098a,False,49bf46f8-088d-44aa-afee-c96875a311a7,30/05/2023,selection,4.0,6.0,5.0,3.0,2.0,6.0,7.0,5.0,5.0,8.0,both,0.0,False,False,False,False,False,True,False,False,False,False,False,False
8c8692f4-a7f3-4622-98a6-dec317bcca02,False,57fe4fa1-3339-47f7-be7c-8de1e4b539d6,2023-02-16,entertainment,8.0,6.0,7.0,7.0,10.0,7.0,7.0,5.0,3.0,4.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
9dbbb2b3-381a-43ad-892a-0ecdbc16bb35,False,9b7c0aba-1eb5-4006-887b-d7903b0a566d,30/05/2023,selection,5.0,3.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,0.0,both,0.0,False,True,False,False,False,True,False,False,False,False,False,False
bc67b93f-1caf-4db7-a2b7-d09b9d1dccc2,False,79bfdc53-24f4-4f44-8b80-3a0a553b0898,test date,food,5.0,3.0,4.0,4.0,1.0,6.0,4.0,3.0,3.0,3.0,both,0.0,False,False,False,False,False,False,False,False,False,False,False,False
682c5f2f-0b06-4235-89ab-e029de358c5a,False,fc01e35d-870c-4e42-9465-9087f316a824,2023-02-16,selection,8.0,7.0,8.0,6.0,0.0,6.0,8.0,5.0,5.0,9.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
9e062add-a4c8-4aa2-afd0-9091ee1d6bdd,False,a9001d88-fd2e-4240-a95a-c98322365eb0,2023-02-16,food,8.0,5.0,9.0,7.0,2.0,9.0,8.0,6.0,5.0,9.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
a0109ed7-ce3e-4aa9-855c-f8bbe27360a2,False,9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,17/05/2023,price,7.0,5.0,5.0,7.0,2.0,5.0,8.0,6.0,9.0,7.0,both,0.0,False,False,False,False,False,True,False,False,False,False,False,True
f3d4192b-6ed2-4e2c-9db4-f04faf9e46ea,False,8905f38f-5abe-4ff7-9b22-72ab50645c21,30/05/2023,friendliness,7.0,6.0,7.0,6.0,2.0,7.0,8.0,5.0,7.0,5.0,both,0.0,False,False,False,False,False,False,False,False,False,False,False,False
21afb3d4-1d3b-4bd3-90ed-21ac95bf2f81,False,85734c01-6261-4784-b024-637b12b8d4f4,30/05/2023,decor,6.0,6.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,both,0.0,False,False,False,False,False,True,False,False,False,False,False,False
9d0f7c5c-9d16-423e-9888-6cc78381e898,False,e96d9cfd-fb5e-4f5f-b722-bf6cd1ad3aad,test date,selection,6.0,5.0,6.0,6.0,2.0,5.0,6.0,5.0,5.0,8.0,both,0.0,False,False,False,False,False,False,False,False,False,False,False,False
f8d06143-d50e-4c2d-b231-b6c0233658ea,False,7f3d8913-5a6d-40a4-a3e4-cd6eb0b0b8bf,test date,atmosphere,9.0,5.0,7.0,8.0,0.0,5.0,8.0,5.0,4.0,7.0,both,0.0,False,False,False,False,False,False,False,False,False,False,False,False
73a32858-85fd-47ab-b7df-c350f6d2ed70,False,cf5bc9ca-01c3-43e1-8b44-89b0cd5eac28,test date,food,8.0,8.0,7.0,7.0,0.0,9.0,7.0,6.0,2.0,4.0,both,0.0,False,False,False,False,False,False,False,False,False,False,False,False
c2fe8297-6be5-49b1-b6c8-cf132390cb70,False,3e38be80-48d3-4177-a80d-7b670494e234,test date,decor,7.0,8.0,9.0,10.0,2.0,0.0,6.0,6.0,2.0,4.0,both,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2e72dba8-34d9-403e-a1c3-e6de20da8dc0,False,0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,30/05/2023,price,8.0,3.0,2.0,2.0,0.0,3.0,6.0,5.0,8.0,7.0,both,0.0,True,False,True,False,False,True,False,False,False,True,False,False
d7c7178c-b66b-458d-91cc-8690fdb52cae,False,7ed9d8f5-8c66-4cc4-a083-705f2322d4ff,"Sat, 25 Feb 2023 00:00:00 GMT",selection,7.0,5.0,2.0,7.0,2.0,5.0,6.0,4.0,2.0,9.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
9d6d8da3-c230-4eeb-b6d8-5f91553af467,False,ed83e610-bf91-434a-9679-b88b61402c22,"Sat, 25 Feb 2023 00:00:00 GMT",friendliness,8.0,3.0,8.0,8.0,2.0,8.0,9.0,3.0,5.0,3.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
416b2b9b-fa75-4926-a195-cd8a59676c85,False,3b022027-061c-4f8b-8d59-c81ecf41e4b2,"Sat, 25 Feb 2023 00:00:00 GMT",,7.0,5.0,3.0,5.0,0.0,8.0,5.0,5.0,8.0,3.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
1bf791ff-74ad-4a8a-868f-2c99e8413952,False,220a734a-c9de-4e2b-8358-f2a15000a138,"Sat, 25 Feb 2023 00:00:00 GMT","decor, atmosphere ",10.0,8.0,8.0,10.0,0.0,6.0,6.0,7.0,5.0,8.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
9cf4a412-da94-48ec-b6f2-288bc0640422,False,8c8cb344-915a-458d-8931-f674e014c890,"Sat, 25 Feb 2023 00:00:00 GMT",friendliness,8.0,5.0,7.0,6.0,2.0,7.0,9.0,7.0,7.0,8.0,BOTH,0.0,False,False,False,False,False,False,False,False,False,False,False,False
cc04425c-c1b5-4617-8fa2-0d27187baece,False,5d30094e-5fcc-4144-bed7-9aee72419468,test date,price,3.0,4.0,3.0,3.0,2.0,4.0,4.0,7.0,7.0,4.0,andy,0.0,False,False,False,False,False,False,False,False,False,False,False,False
843c4104-06da-46fb-95f9-afadcc31e47d,False,5e7a2cf0-e9bc-4fc8-818b-763244375ebf,30/05/2023,entertainment,8.0,7.0,7.0,9.0,10.0,10.0,7.0,7.0,4.0,8.0,undefinedan,0.0,False,False,False,False,False,False,True,True,True,False,False,False
a5fa0050-10f1-4bdf-bc09-4ed243ebcd1b,False,168c5191-a91d-4774-af72-c0b60222cd5c,test date,entertainment,7.0,3.0,4.0,3.0,8.0,5.0,4.0,5.0,7.0,7.0,andy,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2a0b9403-c043-4bd7-b1d6-5365e311bd46,False,94d24fde-0b24-4bec-a05d-3c8ca530db55,test date,entertainment,8.0,2.0,5.0,4.0,10.0,5.0,7.0,5.0,5.0,6.0,andy,0.0,False,False,False,False,False,False,False,False,False,False,False,False
4e904b90-804a-4c38-bd57-0587a1e50f28,False,a2de7aa4-dd99-4bd7-8ea6-22380d6e7ee1,,decor,8.0,8.0,8.0,10.0,1.0,8.0,4.0,7.0,3.0,9.0,ANDY,0.0,False,False,False,False,False,False,False,False,False,False,False,False
f58ac6ba-f5ff-4496-84fc-720c42648bde,False,188ac738-7e4e-4433-ba8b-2e97b241bc1c,test date,price,8.0,4.0,8.0,4.0,0.0,8.0,7.0,6.0,8.0,7.0,andy,0.0,False,False,False,False,False,False,False,False,False,False,False,False
991bd604-0631-47cf-b694-45099212a406,False,fd1f6053-8868-419a-a445-fd24a21e8b99,30/05/2023,decor,8.0,2.0,6.0,9.0,2.0,7.0,8.0,5.0,3.0,7.0,andy,0.0,False,True,False,False,False,True,False,False,False,False,False,False
36317b41-aa5c-4fad-864b-23aba7489199,False,f787a138-53cb-45ca-a7f8-20564708f07b,test date,food,3.0,9.0,6.0,4.0,0.0,8.0,6.0,2.0,3.0,5.0,andy,0.0,False,False,False,False,False,False,False,False,False,False,False,False
ab8ea498-4ac5-44fb-8fd5-2eca3dce0efa,False,c9a4f721-53ae-4482-916c-abc4e1ba52b1,"Tue, 28 Feb 2023 00:00:00 GMT",food,7.0,6.0,8.0,7.0,2.0,9.0,8.0,5.0,7.0,7.0,ANDY,0.0,False,False,False,False,False,False,False,False,False,False,False,False
f265f887-8e50-4455-9e34-6bee5592823d,False,6bb18e6f-42e5-4f54-b98a-75302168364c,30/05/2023,selection,8.0,4.0,6.0,4.0,2.0,5.0,5.0,5.0,4.0,9.0,andy,0.0,False,True,False,False,False,True,False,False,False,False,False,False
bb9eab9d-3941-4ac0-abde-5c4c0c15a4a6,False,034c5579-5369-44a3-8fc9-ffbeb832a84b,"Thu, 02 Mar 2023 00:00:00 GMT",atmosphere,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,ANDY,0.0,False,False,False,False,False,False,False,False,False,False,False,False
1516f425-7fa0-4e38-bb51-2ced9cb160d5,False,52c555f4-007f-4dd1-9d75-a0dfc38425ad,"Fri, 03 Mar 2023 00:00:00 GMT",entertainment,8.0,8.0,7.0,8.0,10.0,8.0,8.0,7.0,5.0,5.0,Avni,0.0,False,False,False,False,False,False,False,False,False,False,False,False
a8bce1be-ffb0-4b84-973a-a8c41853e595,False,dc3dc762-de64-421e-bc0b-e861e3766ae2,17/05/2023,food,8.0,9.0,8.0,9.0,2.0,9.0,8.0,7.0,2.0,9.0,ANDY,0.0,False,False,False,False,False,True,True,False,False,False,False,False
c7223326-661e-49ed-a0b2-da5bd4758508,False,c7223326-661e-49ed-a0b2-da5bd4758508,test date,decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andy,0.0,False,False,False,False,False,False,False,False,False,False,False,False
cf2f4001-5aa9-4923-80c1-46b7e9eb1736,False,cf2f4001-5aa9-4923-80c1-46b7e9eb1736,"March 09, 2023",,,,,,,,,,,,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
610d6a7a-b922-4a4a-9302-6cdd869ce4f5,False,610d6a7a-b922-4a4a-9302-6cdd869ce4f5,test date,entertainment,7.0,2.0,6.0,3.0,9.0,5.0,5.0,7.0,3.0,5.0,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
9ad4bece-d79b-44b3-9c2d-d57747e6c960,False,9ad4bece-d79b-44b3-9c2d-d57747e6c960,test date,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
d5cd1760-b22e-49e8-832e-6eb5cab180f3,False,d5cd1760-b22e-49e8-832e-6eb5cab180f3,30/05/2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,True,True,True,False,False,True,False,False,False,False,False,False
ad2bbf86-9982-4180-a815-6e0b075eba1c,False,ad2bbf86-9982-4180-a815-6e0b075eba1c,30/05/2023,friendliness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andy,0.0,True,True,False,False,True,True,False,False,False,False,False,False
e7e819fb-a913-467e-94d3-1ca2f6473a6e,False,e7e819fb-a913-467e-94d3-1ca2f6473a6e,30/05/2023,entertainment,7.0,3.0,3.0,2.0,8.0,5.0,6.0,4.0,5.0,6.0,andy,0.0,False,True,True,False,False,True,False,True,True,True,True,False
32a17618-9e23-450c-b921-a6bab0dfdd6f,False,32a17618-9e23-450c-b921-a6bab0dfdd6f,30/05/2023,food,2.0,3.0,2.0,3.0,0.0,6.0,2.0,5.0,4.0,5.0,,0.0,False,False,False,True,False,True,True,False,False,False,False,False
bbf5d575-eb9c-4b6c-b6ba-b0d325f452cc,False,bbf5d575-eb9c-4b6c-b6ba-b0d325f452cc,test date,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
0c00dbd3-a6fd-4c6b-8006-2d98c0d8b175,False,0c00dbd3-a6fd-4c6b-8006-2d98c0d8b175,30/05/2023,friendliness,8.0,7.0,7.0,7.0,0.0,7.0,9.0,9.0,6.0,5.0,andy,0.0,False,False,True,False,False,True,False,False,False,False,False,False
3c0e13d2-57f5-4e20-85da-8c49873b9224,False,3c0e13d2-57f5-4e20-85da-8c49873b9224,30/05/2023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,False,False,False,False,False,True,False,False,False,False,False,False
e7c2cc87-e065-41e0-b34e-5607b0d6cb68,False,e7c2cc87-e065-41e0-b34e-5607b0d6cb68,test date,food,8.0,8.0,8.0,8.0,0.0,10.0,8.0,5.0,3.0,3.0,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
54ed8eb6-770a-4ed4-b269-a7c770447aed,False,54ed8eb6-770a-4ed4-b269-a7c770447aed,30/05/2023,selection,2.0,3.0,1.0,8.0,2.0,5.0,6.0,5.0,4.0,9.0,,0.0,False,False,True,False,False,False,False,False,False,False,False,False
9a3d88cf-4910-4f24-921c-c20fe0febd29,,1e2588e4-74eb-49b7-9c44-e9716b26c64d,,,,,,,,,,,,,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
0512afe3-4cc4-4b01-82df-caee56e82b4d,,589baf35-626d-4581-9a9f-b15e60f6fc84,,,,,,,,,,,,,,0.0,False,False,False,False,False,False,False,False,False,False,False,False
b5ac8d4d-7c3f-4698-9948-6885ac08892a,False,d156ac75-0402-4b7f-8140-1272cc620366,"April 03, 2023",atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,andy,0.0,False,False,False,False,False,False,False,False,False,False,False,False
