review_identity,pub_identity,review_deletion,visit,star,atmosphere,cleanliness,clientele,decor,entertainment,food,friendliness,opening,price,selection,reviewer,rating,pet,tv,garden,music,late,meals,toilets,cheap,games,quiz,pool,lively
00ffd490-b3b8-424d-b5d2-5122bbebdba2,False,test date,decor,6.0,5.0,6.0,8.0,2.0,5.0,4.0,5.0,2.0,3.0,54.0,,False,False,False,False,False,False,False,False,False,False,False,False,False
10f611a2-512f-4b07-aa57-8de878ccbb3b,False,test date,decor,7.0,10.0,6.0,10.0,0.0,3.0,9.0,5.0,0.0,8.0,80.0,both,False,False,False,False,False,False,False,False,False,False,False,False,False
0d3af39b-2da5-4ce4-bb58-734a1523af77,False,2023-02-16,clientele,8.0,4.0,9.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,78.0,BOTH,False,False,False,False,False,False,False,False,False,False,False,False,False
efcf3870-da4d-4a44-9c1b-3d5be38edeaa,False,test date,decor,6.0,3.0,7.0,9.0,4.0,6.0,7.0,5.0,5.0,8.0,74.0,both,False,False,False,False,False,False,False,False,False,False,False,False,False
eabe0a83-2841-4c72-b86a-4fb5504e2161,False,2023-02-16,entertainment,6.0,5.0,6.0,6.0,8.0,5.0,7.0,7.0,5.0,7.0,64.0,BOTH,False,False,False,False,False,False,False,False,False,False,False,False,False
75d7f798-4740-483c-9140-88318b66078e,False,16/05/2023,atmosphere,9.0,5.0,8.0,5.0,4.0,5.0,5.0,5.0,2.0,7.0,False,both,False,False,False,False,False,False,False,False,False,False,False,False,True
2fb4fd5e-0efa-406b-9766-68a70919ff97,False,test date,decor,5.0,7.0,4.0,8.0,2.0,4.0,6.0,5.0,6.0,1.0,48.0,both,False,False,False,False,False,False,False,False,False,False,False,False,False
e8cbe945-648f-4a82-8e4b-8a6eb043af7f,False,test date,friendliness,6.0,7.0,5.0,6.0,3.0,6.0,8.0,5.0,3.0,7.0,64.0,both,False,False,False,False,False,False,False,False,False,False,False,False,False
5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,False,2023-02-16,entertainment,8.0,9.0,8.0,7.0,10.0,5.0,8.0,7.0,4.0,7.0,76.0,BOTH,False,False,False,False,False,False,False,False,False,False,False,False,False
0ca14449-0d5b-4e03-9247-99fed9cebbc3,False,2023-02-16,friendliness,8.0,8.0,9.0,9.0,6.0,5.0,9.0,4.0,4.0,4.0,78.0,BOTH,False,False,False,False,False,False,False,False,False,False,False,False,False
49bf46f8-088d-44aa-afee-c96875a311a7,False,08/05/2023,selection,4.0,6.0,5.0,3.0,2.0,6.0,7.0,5.0,5.0,8.0,54.0,both,False,False,False,False,True,False,False,False,False,False,False,False,False
57fe4fa1-3339-47f7-be7c-8de1e4b539d6,False,2023-02-16,entertainment,8.0,6.0,7.0,7.0,10.0,7.0,7.0,5.0,3.0,4.0,66.0,BOTH,False,False,False,False,False,False,False,False,False,False,False,False,False
9b7c0aba-1eb5-4006-887b-d7903b0a566d,False,test date,selection,5.0,3.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,0.0,44.0,both,False,False,False,False,False,False,False,False,False,False,False,False,False
